Date,Price,Open,High,Low,Vol.,Change %,Price_lag1,Price_lag2,MA7,MA30,Price_change_1d,Volatility,RSI14,Daily_Return_pct,Rolling_volatility_7d
2012-04-30,4.9,4.9,5.0,4.9,55770.0,0.0,4.9,5.0,5.028571428571428,4.98,0.0,0.09999999999999964,50.0,0.0,0.09511897312113389
2012-05-01,5.0,4.9,5.0,4.9,36680.0,1.01,4.9,4.9,5.014285714285714,4.986666666666666,0.09999999999999964,0.09999999999999964,50.0,2.0408163265306145,0.08997354108424346
2012-05-02,5.1,5.0,5.2,5.0,95960.0,1.4,5.0,4.9,5.014285714285714,4.989999999999999,0.09999999999999964,0.20000000000000018,50.0,2.0000000000000018,0.08997354108424345
2012-05-03,5.1,5.1,5.2,5.0,35420.0,1.18,5.1,5.0,5.014285714285714,4.996666666666667,0.0,0.20000000000000018,50.0,0.0,0.08997354108424345
2012-05-04,5.1,5.1,5.2,5.1,43630.0,-1.17,5.1,5.1,5.014285714285714,5.003333333333333,0.0,0.10000000000000053,37.49999999999996,0.0,0.08997354108424345
2012-05-05,5.1,5.1,5.1,5.0,18840.0,0.0,5.1,5.1,5.028571428571428,5.010000000000001,0.0,0.09999999999999964,37.49999999999996,0.0,0.09511897312113389
2012-05-06,5.1,5.1,5.1,5.0,19300.0,0.0,5.1,5.1,5.057142857142857,5.016666666666667,0.0,0.09999999999999964,42.8571428571428,0.0,0.07867957924694408
2012-05-07,5.1,5.1,5.1,5.0,46180.0,0.0,5.1,5.1,5.0857142857142845,5.03,0.0,0.09999999999999964,60.0,0.0,0.03779644730092267
2012-05-08,5.1,5.1,5.1,5.0,68200.0,0.0,5.1,5.1,5.1,5.04,0.0,0.09999999999999964,50.0,0.0,0.0
2012-05-09,5.0,5.1,5.1,5.0,38920.0,0.0,5.1,5.1,5.085714285714286,5.043333333333333,-0.09999999999999964,0.09999999999999964,39.99999999999999,-1.9607843137254832,0.03779644730092267
2012-05-10,4.8,5.0,5.1,4.8,69980.0,-3.77,5.0,5.1,5.042857142857143,5.043333333333334,-0.20000000000000018,0.2999999999999998,28.571428571428527,-4.0000000000000036,0.11338934190276814
2012-05-11,5.0,4.8,5.0,4.8,63130.0,2.27,4.8,5.0,5.028571428571429,5.046666666666667,0.20000000000000018,0.20000000000000018,44.44444444444445,4.166666666666674,0.11126972805283733
2012-05-12,4.9,5.0,5.0,4.9,20880.0,0.0,5.0,4.8,5.0,5.046666666666667,-0.09999999999999964,0.09999999999999964,44.44444444444445,-1.9999999999999907,0.11547005383792511
2012-05-13,4.9,4.9,5.0,4.9,14050.0,0.0,4.9,5.0,4.971428571428571,5.046666666666666,0.0,0.09999999999999964,50.0,0.0,0.11126972805283733
2012-05-14,5.0,4.9,5.0,4.9,52850.0,1.62,4.9,4.9,4.957142857142857,5.046666666666666,0.09999999999999964,0.09999999999999964,55.55555555555555,2.0408163265306145,0.0975900072948534
2012-05-15,5.0,5.0,5.0,4.9,44140.0,0.0,5.0,4.9,4.942857142857143,5.046666666666666,0.0,0.09999999999999964,50.0,0.0,0.07867957924694456
2012-05-16,5.1,5.0,5.1,5.0,69370.0,0.99,5.0,5.0,4.957142857142857,5.053333333333334,0.09999999999999964,0.09999999999999964,50.0,2.0000000000000018,0.0975900072948534
2012-05-17,5.1,5.1,5.1,5.1,26620.0,0.0,5.1,5.0,5.0,5.0566666666666675,0.0,0.0,50.0,0.0,0.08164965809277253
2012-05-18,5.1,5.1,5.1,5.1,52580.0,0.0,5.1,5.1,5.014285714285714,5.056666666666667,0.0,0.0,50.0,0.0,0.0899735410842436
2012-05-19,5.1,5.1,5.1,5.1,23160.0,0.0,5.1,5.1,5.042857142857143,5.056666666666667,0.0,0.0,50.0,0.0,0.07867957924694426
2012-05-20,5.1,5.1,5.2,5.1,18690.0,0.0,5.1,5.1,5.071428571428571,5.05,0.0,0.10000000000000053,50.0,0.0,0.04879500364742683
2012-05-21,5.1,5.1,5.1,5.1,33620.0,0.0,5.1,5.1,5.0857142857142845,5.043333333333334,0.0,0.0,50.0,0.0,0.03779644730092303
2012-05-22,5.1,5.1,5.1,5.1,46680.0,0.0,5.1,5.1,5.1,5.040000000000001,0.0,0.0,50.0,0.0,0.0
2012-05-23,5.1,5.1,5.2,5.1,52960.0,0.0,5.1,5.1,5.1,5.043333333333334,0.0,0.10000000000000053,57.142857142857125,0.0,0.0
2012-05-24,5.1,5.1,5.2,5.1,28920.0,0.0,5.1,5.1,5.1,5.043333333333333,0.0,0.10000000000000053,80.00000000000003,0.0,0.0
2012-05-25,5.2,5.1,5.2,5.1,23080.0,0.0,5.1,5.1,5.114285714285714,5.046666666666666,0.10000000000000053,0.10000000000000053,75.00000000000006,1.9607843137255054,0.037796447300923394
2012-05-26,5.1,5.2,5.2,5.1,16590.0,-0.97,5.2,5.1,5.114285714285714,5.046666666666667,-0.10000000000000053,0.10000000000000053,74.99999999999989,-1.9230769230769384,0.037796447300923394
2012-05-27,5.1,5.1,5.2,5.1,15750.0,0.0,5.1,5.2,5.114285714285714,5.046666666666667,0.0,0.10000000000000053,74.99999999999989,0.0,0.037796447300923394
2012-05-28,5.1,5.1,5.2,5.1,27560.0,0.0,5.1,5.1,5.114285714285714,5.05,0.0,0.10000000000000053,66.66666666666657,0.0,0.037796447300923394
2012-05-29,5.2,5.1,5.2,5.0,61270.0,0.0,5.1,5.1,5.128571428571428,5.06,0.10000000000000053,0.20000000000000018,74.99999999999994,1.9607843137255054,0.048795003647427344
2012-05-30,5.1,5.2,5.2,5.1,39940.0,0.0,5.2,5.1,5.128571428571428,5.066666666666666,-0.10000000000000053,0.10000000000000053,50.0,-1.9230769230769384,0.048795003647427344
2012-05-31,5.2,5.1,5.2,5.1,39480.0,0.0,5.1,5.2,5.142857142857143,5.073333333333333,0.10000000000000053,0.10000000000000053,60.0,1.9607843137255054,0.05345224838248564
2012-06-01,5.3,5.2,5.3,5.2,44690.0,1.74,5.2,5.1,5.157142857142857,5.08,0.09999999999999964,0.09999999999999964,66.66666666666661,1.9230769230769162,0.07867957924694487
2012-06-02,5.3,5.3,5.3,5.2,15170.0,0.0,5.3,5.2,5.185714285714285,5.086666666666667,0.0,0.09999999999999964,66.66666666666661,0.0,0.08997354108424434
2012-06-03,5.2,5.3,5.3,5.2,12680.0,0.0,5.3,5.3,5.2,5.090000000000001,-0.09999999999999964,0.09999999999999964,57.14285714285715,-1.8867924528301772,0.08164965809277333
