Model,MAE,MSE,RMSE,R2 Score
ARIMA,1.0,1.0,1.0,-0.6175337028912498
SARIMA,1.0,1.0,1.0,-0.6175337028912498
LSTM,0.05508609333866233,0.0035051639371235692,0.05920442497924939,1.0
BiLSTM,0.10810402781488888,0.017879681410738833,0.13371492590858672,0.9766398738846896
Avg_ARIMA_BiLSTM,0.4652420028580887,0.21241578502418307,0.46088586984651964,0.6604979287562726
Avg_LSTM_BiLSTM,0.07305115465310753,0.007714105339579789,0.08782997973118171,0.9931600206995609
Stacked,0.07230945503708915,0.006178211437920541,0.07860159946159201,0.9955759482071287
